ID,group,nudgeType,nudgeIntensity,Age,Sex,ethnicity,occupation,income,education,envAttitude_pre,envSelfEfficacy_pre,envMotivation_pre,eco_choices_day1,eco_choices_day2,eco_choices_day3,eco_choices_day4,eco_choices_day5,eco_choices_day6,eco_choices_day7,eco_choices_day8,eco_choices_day9,eco_choices_day10,eco_choices_day11,eco_choices_day12,eco_choices_day13,eco_choices_day14,eco_share_day1,eco_share_day2,eco_share_day3,eco_share_day4,eco_share_day5,eco_share_day6,eco_share_day7,eco_share_day8,eco_share_day9,eco_share_day10,eco_share_day11,eco_share_day12,eco_share_day13,eco_share_day14
1,assistant_high,assistant,high,23,Female,Asian,3,3,5,2.867,3,0.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,assistant_high,assistant,high,32,Male,Mixed,5,1,5,3.933,4,0.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,assistant_high,assistant,high,35,Male,Black,4,2,4,2.467,5,7.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,assistant_high,assistant,high,33,Male,White,3,4,6,3.4,4,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,assistant_high,assistant,high,37,Male,White,3,3,5,3.533,5,7.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,assistant_high,assistant,high,34,Male,Mixed,3,3,6,4.133,4,0.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,assistant_high,assistant,high,25,Male,White,4,3,3,3.4,4,6.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,assistant_high,assistant,high,29,Male,White,2,3,4,4.0,5,10.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,assistant_high,assistant,high,60,Female,Black,2,6,7,4.533,4,5.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,assistant_high,assistant,high,23,Male,Other,4,4,5,3.2,4,-4.5,3,2,2,3,3,3,3,3,3,3,3,3,3,3,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,assistant_high,assistant,high,36,Male,White,5,1,3,2.2,3,3.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,assistant_high,assistant,high,28,Male,Black,3,1,5,3.267,4,0.5,2,3,3,3,2,2,3,3,3,3,3,3,3,3,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,assistant_high,assistant,high,23,Female,Black,2,3,5,3.067,4,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,assistant_high,assistant,high,27,Male,White,3,5,5,2.8,4,9.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,assistant_high,assistant,high,21,Male,White,5,1,3,3.267,4,2.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,assistant_high,assistant,high,34,Female,Black,3,4,5,3.4,4,4.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,assistant_high,assistant,high,26,Male,Mixed,2,2,5,3.067,4,-2.5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,assistant_high,assistant,high,25,Female,Black,2,5,5,4.267,5,6.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19,assistant_high,assistant,high,43,Female,White,3,2,5,3.0,3,-5.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
