model,group,day,human_d,human_ci_lower,human_ci_upper,llm_d
claude-haiku-4-5-20251001,information_high,1,0.4700176430465022,0.20385503608558903,0.7361802500074153,0.7249237511680816
claude-haiku-4-5-20251001,information_high,2,0.48597244380980265,0.20329923433349745,0.7686456532861079,0.8302795293106691
claude-haiku-4-5-20251001,information_high,3,0.5046307127754446,0.22513160253207004,0.7841298230188192,1.1201851698780942
claude-haiku-4-5-20251001,information_high,4,0.4920116444952436,0.20836048542140428,0.7756628035690829,1.0176563049503307
claude-haiku-4-5-20251001,information_high,5,0.4041833809311991,0.11915064720042995,0.6892161146619682,1.0380691970114568
claude-haiku-4-5-20251001,information_high,6,0.4568301911783188,0.16723509924171226,0.7464252831149254,0.9848334413577227
claude-haiku-4-5-20251001,information_high,7,0.5233145551528399,0.24055287850368984,0.8060762318019898,0.9435268892057108
claude-haiku-4-5-20251001,information_high,8,0.4435538304482872,0.16225022000109068,0.7248574408954838,0.8787505120227816
claude-haiku-4-5-20251001,information_high,9,0.37990382397282024,0.1016218934748141,0.6581857544708264,0.8703882797784892
claude-haiku-4-5-20251001,information_high,10,0.4740241844360003,0.19006687634366431,0.7579814925283364,0.9094173012274387
claude-haiku-4-5-20251001,information_high,11,0.36287890305887816,0.07691419746353934,0.648843608654217,0.8092275254432678
claude-haiku-4-5-20251001,information_high,12,0.5624797816039363,0.26768915320082487,0.8572704100070477,0.7777777777777776
claude-haiku-4-5-20251001,information_high,13,0.39882845133666706,0.10815890276169565,0.6894979999116384,0.7468510971169703
claude-haiku-4-5-20251001,information_high,14,0.4842764019024865,0.19688432435608955,0.7716684794488835,0.7550632304169703
claude-haiku-4-5-20251001,information_medium,1,0.5792682079474666,0.31125719912179595,0.8472792167731372,0.8192880303729141
claude-haiku-4-5-20251001,information_medium,2,0.41500517583761837,0.13947991651894293,0.6905304351562938,0.3371105483850932
claude-haiku-4-5-20251001,information_medium,3,0.5088383702770657,0.23058344132342767,0.7870932992307037,0.4221158824088691
claude-haiku-4-5-20251001,information_medium,4,0.38487095089750295,0.10216574684323149,0.6675761549517745,0.9125805240368684
claude-haiku-4-5-20251001,information_medium,5,0.36391261117979123,0.07639381027878273,0.6514314120807998,0.43345317717688236
claude-haiku-4-5-20251001,information_medium,6,0.3173143316681431,0.03258216109211304,0.6020465022441732,0.5063488809005006
claude-haiku-4-5-20251001,information_medium,7,0.448971344150689,0.16744603727773766,0.7304966510236404,1.0975076797808636
claude-haiku-4-5-20251001,information_medium,8,0.3157334242382286,0.036099770146624355,0.5953670783298328,0.2951459149490486
claude-haiku-4-5-20251001,information_medium,9,0.46876380918376825,0.18919646824685094,0.7483311501206855,0.3641861872001304
claude-haiku-4-5-20251001,information_medium,10,0.3741826297833738,0.09028128427520221,0.6580839752915454,0.7825391795735006
claude-haiku-4-5-20251001,information_medium,11,0.39615829022777416,0.10974977993602458,0.6825668005195238,0.44410888800216064
claude-haiku-4-5-20251001,information_medium,12,0.4278823394506367,0.12988545593807332,0.7258792229632001,0.39975033805952204
claude-haiku-4-5-20251001,information_medium,13,0.3719950145285416,0.0745891219048026,0.6694009071522806,0.6912387035414261
