model,group,day,human_d,human_ci_lower,human_ci_upper,llm_d
deepseek-v3,information_high,1,0.4700176430465022,0.20385503608558903,0.7361802500074153,0.6494997644410337
deepseek-v3,information_high,2,0.48597244380980265,0.20329923433349745,0.7686456532861079,0.1483316923342565
deepseek-v3,information_high,3,0.5046307127754446,0.22513160253207004,0.7841298230188192,0.40903718796675365
deepseek-v3,information_high,4,0.4920116444952436,0.20836048542140428,0.7756628035690829,0.39553160286983197
deepseek-v3,information_high,5,0.4041833809311991,0.11915064720042995,0.6892161146619682,0.3391805982966442
deepseek-v3,information_high,6,0.4568301911783188,0.16723509924171226,0.7464252831149254,0.47927221530777553
deepseek-v3,information_high,7,0.5233145551528399,0.24055287850368984,0.8060762318019898,0.5694199639238373
deepseek-v3,information_high,8,0.4435538304482872,0.16225022000109068,0.7248574408954838,0.6200145581004788
deepseek-v3,information_high,9,0.37990382397282024,0.1016218934748141,0.6581857544708264,0.5962765158883673
deepseek-v3,information_high,10,0.4740241844360003,0.19006687634366431,0.7579814925283364,0.6402630925857787
deepseek-v3,information_high,11,0.36287890305887816,0.07691419746353934,0.648843608654217,0.6131810563513156
deepseek-v3,information_high,12,0.5624797816039363,0.26768915320082487,0.8572704100070477,0.4438922990662706
deepseek-v3,information_high,13,0.39882845133666706,0.10815890276169565,0.6894979999116384,0.6307231661985633
deepseek-v3,information_high,14,0.4842764019024865,0.19688432435608955,0.7716684794488835,0.6260990336999411
deepseek-v3,information_medium,1,0.5792682079474666,0.31125719912179595,0.8472792167731372,0.2369230769230769
deepseek-v3,information_medium,2,0.41500517583761837,0.13947991651894293,0.6905304351562938,-0.5306997538524046
deepseek-v3,information_medium,3,0.5088383702770657,0.23058344132342767,0.7870932992307037,-0.38908908910234985
deepseek-v3,information_medium,4,0.38487095089750295,0.10216574684323149,0.6675761549517745,-0.020559355100907107
deepseek-v3,information_medium,5,0.36391261117979123,0.07639381027878273,0.6514314120807998,-0.341700647941751
deepseek-v3,information_medium,6,0.3173143316681431,0.03258216109211304,0.6020465022441732,-0.3704792868174742
deepseek-v3,information_medium,7,0.448971344150689,0.16744603727773766,0.7304966510236404,-0.022012469777622595
deepseek-v3,information_medium,8,0.3157334242382286,0.036099770146624355,0.5953670783298328,-0.12139539573337686
deepseek-v3,information_medium,9,0.46876380918376825,0.18919646824685094,0.7483311501206855,-0.13583770774416173
deepseek-v3,information_medium,10,0.3741826297833738,0.09028128427520221,0.6580839752915454,0.08598104020031032
deepseek-v3,information_medium,11,0.39615829022777416,0.10974977993602458,0.6825668005195238,-0.02488520246527556
deepseek-v3,information_medium,12,0.4278823394506367,0.12988545593807332,0.7258792229632001,-0.16187846821622923
deepseek-v3,information_medium,13,0.3719950145285416,0.0745891219048026,0.6694009071522806,0.10634172368873887
