model,group,day,human_d,human_ci_lower,human_ci_upper,llm_d
gpt-3.5-turbo-0125,information_high,1,0.4700176430465022,0.20385503608558903,0.7361802500074153,1.4400277775098644
gpt-3.5-turbo-0125,information_high,2,0.48597244380980265,0.20329923433349745,0.7686456532861079,1.5178932768808218
gpt-3.5-turbo-0125,information_high,3,0.5046307127754446,0.22513160253207004,0.7841298230188192,1.7079839877251721
gpt-3.5-turbo-0125,information_high,4,0.4920116444952436,0.20836048542140428,0.7756628035690829,1.1670483815711392
gpt-3.5-turbo-0125,information_high,5,0.4041833809311991,0.11915064720042995,0.6892161146619682,1.432927232366595
gpt-3.5-turbo-0125,information_high,6,0.4568301911783188,0.16723509924171226,0.7464252831149254,1.1732757031006744
gpt-3.5-turbo-0125,information_high,7,0.5233145551528399,0.24055287850368984,0.8060762318019898,1.2242644850732887
gpt-3.5-turbo-0125,information_high,8,0.4435538304482872,0.16225022000109068,0.7248574408954838,1.3475280605261732
gpt-3.5-turbo-0125,information_high,9,0.37990382397282024,0.1016218934748141,0.6581857544708264,1.4042729552160051
gpt-3.5-turbo-0125,information_high,10,0.4740241844360003,0.19006687634366431,0.7579814925283364,1.4266592959656657
gpt-3.5-turbo-0125,information_high,11,0.36287890305887816,0.07691419746353934,0.648843608654217,1.258653181072212
gpt-3.5-turbo-0125,information_high,12,0.5624797816039363,0.26768915320082487,0.8572704100070477,1.2088990417747396
gpt-3.5-turbo-0125,information_high,13,0.39882845133666706,0.10815890276169565,0.6894979999116384,1.1248206742636249
gpt-3.5-turbo-0125,information_high,14,0.4842764019024865,0.19688432435608955,0.7716684794488835,1.1740644158083349
gpt-3.5-turbo-0125,information_medium,1,0.5792682079474666,0.31125719912179595,0.8472792167731372,1.0955714796538678
gpt-3.5-turbo-0125,information_medium,2,0.41500517583761837,0.13947991651894293,0.6905304351562938,0.8407536530611112
gpt-3.5-turbo-0125,information_medium,3,0.5088383702770657,0.23058344132342767,0.7870932992307037,1.4020497814783859
gpt-3.5-turbo-0125,information_medium,4,0.38487095089750295,0.10216574684323149,0.6675761549517745,1.2591425011572057
gpt-3.5-turbo-0125,information_medium,5,0.36391261117979123,0.07639381027878273,0.6514314120807998,0.8977128298476614
gpt-3.5-turbo-0125,information_medium,6,0.3173143316681431,0.03258216109211304,0.6020465022441732,0.5849403152577134
gpt-3.5-turbo-0125,information_medium,7,0.448971344150689,0.16744603727773766,0.7304966510236404,1.3151170322062407
gpt-3.5-turbo-0125,information_medium,8,0.3157334242382286,0.036099770146624355,0.5953670783298328,0.9924845797419932
gpt-3.5-turbo-0125,information_medium,9,0.46876380918376825,0.18919646824685094,0.7483311501206855,0.9798077854596234
gpt-3.5-turbo-0125,information_medium,10,0.3741826297833738,0.09028128427520221,0.6580839752915454,1.3466960909744194
gpt-3.5-turbo-0125,information_medium,11,0.39615829022777416,0.10974977993602458,0.6825668005195238,0.6401902277747329
gpt-3.5-turbo-0125,information_medium,12,0.4278823394506367,0.12988545593807332,0.7258792229632001,0.7226224212804917
gpt-3.5-turbo-0125,information_medium,13,0.3719950145285416,0.0745891219048026,0.6694009071522806,0.9718385961422698
gpt-3.5-turbo-0125,information_medium,14,0.44837893116566574,0.1587749025784717,0.7379829597528598,0.7367196689547001
gpt-3.5-turbo-0125,information_low,1,0.526708246003512,0.2596329410000169,0.793783551007007,1.0210549404852618
gpt-3.5-turbo-0125,information_low,2,0.5394431944315473,0.25655470520705015,0.8223316836560445,0.7406681724583487
