study_id,control_round_1,intervention_round_1,d_round_1,control_round_2,intervention_round_2,d_round_2,control_round_3,intervention_round_3,d_round_3,control_round_4,intervention_round_4,d_round_4,control_round_5,intervention_round_5,d_round_5,control_round_6,intervention_round_6,d_round_6,control_round_7,intervention_round_7,d_round_7,control_round_8,intervention_round_8,d_round_8,control_round_9,intervention_round_9,d_round_9,control_round_10,intervention_round_10,d_round_10,control_round_11,intervention_round_11,d_round_11,control_round_12,intervention_round_12,d_round_12,control_round_13,intervention_round_13,d_round_13,control_round_14,intervention_round_14,d_round_14,control_round_15,intervention_round_15,d_round_15,control_round_16,intervention_round_16,d_round_16,control_round_17,intervention_round_17,d_round_17,control_round_18,intervention_round_18,d_round_18,control_round_19,intervention_round_19,d_round_19,control_round_20,intervention_round_20,d_round_20,control_round_21,intervention_round_21,d_round_21,control_round_22,intervention_round_22,d_round_22,control_round_23,intervention_round_23,d_round_23,control_round_24,intervention_round_24,d_round_24,control_round_25,intervention_round_25,d_round_25,control_round_26,intervention_round_26,d_round_26,control_round_27,intervention_round_27,d_round_27,control_round_28,intervention_round_28,d_round_28,control_round_29,intervention_round_29,d_round_29,control_round_30,intervention_round_30,d_round_30
Arana_1,0.54,0.7,0.331431266033829,0.5,0.56,0.120289882394788,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795,0.48,0.52,0.08002134870797795
Bamberg_1,0.74,0.76,0.0461962382913556,0.66,0.76,0.22112146340131367,0.7,0.74,0.08913786633710008,0.7,0.72,0.04408182732833521,0.68,0.72,0.08733077995918315,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.7,0.72,0.04408182732833521,0.68,0.72,0.08733077995918315,0.68,0.72,0.08733077995918315,0.68,0.72,0.08733077995918315,0.68,0.72,0.08733077995918315,0.7,0.72,0.04408182732833521
Bamberg_2,0.58,0.62,0.0816751980870529,0.66,0.66,0.0,0.64,0.64,0.0,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.66,0.66,0.0,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.66,0.66,0.0,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999,0.68,0.66,-0.04253840614200999
Bamberg_3,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Bohm_1,27.3,30.5,0.2353141108902874,29.89,33.18,0.22572452221980854,30.9,33.98,0.2002249755371656,32.76,35.1,0.1385560211819006,34.04,35.36,0.07302187458407315,34.84,35.32,0.025165327191247287,35.62,35.69,0.003491361329490818,36.32,35.57,-0.03655724495753526,36.42,36.07,-0.01680682476444596,37.06,36.03,-0.048744584076077,36.94,35.98,-0.04590625527010819,37.48,36.26,-0.057579547303704036,37.54,36.64,-0.0422125642104439,37.66,36.94,-0.033276918757323276,37.38,37.16,-0.010173497119547806,37.53,37.36,-0.007839964364865875,37.64,37.79,0.006853232224439378,37.5,38.12,0.02816140748927219,37.58,38.37,0.03563606509465147,38.04,38.56,0.023525833827142708,37.86,38.78,0.04112032790804209,38.39,38.96,0.025435546203702412,38.72,39.56,0.0367412462927049,38.59,39.7,0.04867225753821529,38.59,39.67,0.04778347248070142,38.71,40.01,0.05688789568095785,38.93,40.05,0.048956928244458076,38.85,40.35,0.06558770119554919,39.31,40.52,0.05212780256884881,39.41,40.77,0.05886479591266808
Bruns_1,3.08,4.54,0.7225728144152442,3.06,3.54,0.2667843223823699,3.1,3.18,0.04700408755485928,3.2,3.02,-0.10864895368656313,3.16,2.8,-0.20830003377856404,3.22,2.7,-0.3103751008273869,3.14,2.64,-0.292920363626448,3.16,2.66,-0.2937445063921552,3.16,2.66,-0.29583568753400646,3.18,2.66,-0.30621770884254174,3.12,2.62,-0.2942007604895348,3.12,2.62,-0.29524565922026386,3.14,2.64,-0.29499386840545944,3.12,2.68,-0.2583950812573993,3.12,2.64,-0.2815686397246762,3.14,2.64,-0.2949938684054595,3.12,2.7,-0.24340784326234974,3.12,2.66,-0.26535557718456604,3.14,2.64,-0.29395163129900287,3.12,2.62,-0.2952456592202638,3.14,2.64,-0.29604727080203097,3.14,2.64,-0.2908899768912619,3.14,2.58,-0.32655329978257713,3.12,2.58,-0.31312469298162077,3.16,2.6,-0.32513491547913054,3.12,2.56,-0.3257630227041215,3.14,2.58,-0.32320623534245446,3.14,2.6,-0.31175854151070836,3.1,2.58,-0.29588606953092716,3.1,2.58,-0.29686849493653805
Camilleri_1,0.38,0.34,-0.0833636362556666,0.44,0.6,0.3216478031851189,0.46,0.48,0.04007490567967009,0.46,0.54,0.1601711600673179,0.5,0.54,0.08008558003365884,0.56,0.64,0.16350422681353982,0.5,0.54,0.08008558003365884,0.46,0.56,0.20037546242844706,0.5,0.54,0.08008558003365884,0.54,0.54,0.0,0.5,0.52,0.04001067435398897,0.52,0.54,0.04007490567966987,0.5,0.58,0.16069065295191032,0.5,0.56,0.120289882394788,0.54,0.54,0.0,0.5,0.48,-0.04001067435398897,0.58,0.56,-0.04040077055712232,0.5,0.52,0.04001067435398897,0.5,0.5,0.0,0.5,0.56,0.120289882394788,0.54,0.54,0.0,0.54,0.54,0.0,0.6,0.54,-0.12127234075667181,0.52,0.5,-0.04001067435398897,0.52,0.52,0.0,0.56,0.52,-0.08027920804079902,0.56,0.56,0.0,0.52,0.48,-0.08002134870797795,0.5,0.56,0.120289882394788,0.52,0.5,-0.04001067435398897
Camilleri_2,0.36,0.24,-0.2630568414876162,0.54,0.44,-0.20037546242844706,0.5,0.5,0.0,0.48,0.48,0.0,0.52,0.54,0.04007490567966987,0.54,0.52,-0.04007490567966987,0.5,0.52,0.04001067435398897,0.5,0.52,0.04001067435398897,0.48,0.52,0.08002134870797795,0.5,0.46,-0.08008558003365907,0.52,0.52,0.0,0.48,0.56,0.16030055674877697,0.44,0.52,0.1603005567487772,0.4,0.48,0.1613472464363419,0.46,0.5,0.08008558003365907,0.44,0.52,0.1603005567487772,0.46,0.54,0.1601711600673179,0.48,0.54,0.12009625438764782,0.44,0.52,0.1603005567487772,0.48,0.46,-0.04007490567967009,0.44,0.56,0.2405797647895762,0.42,0.56,0.280980535346699,0.46,0.58,0.24077623298556938,0.46,0.56,0.20037546242844706,0.48,0.54,0.12009625438764782,0.48,0.58,0.2007013273058993,0.46,0.56,0.20037546242844706,0.42,0.64,0.4444847621602388,0.44,0.58,0.28098053534669853,0.52,0.62,0.20235517668497427
Camilleri_3,0.18,0.2,0.0509971568332715,0.32,0.44,0.2479780110418519,0.3,0.4,0.2101589252771574,0.32,0.5,0.3682678934366401,0.28,0.46,0.37551309336216443,0.32,0.52,0.4082785677906291,0.32,0.48,0.32825721908265115,0.32,0.46,0.28818231340298106,0.3,0.5,0.4115168460674883,0.3,0.46,0.3314312660338292,0.32,0.46,0.28818231340298106,0.3,0.46,0.3314312660338292,0.32,0.46,0.28818231340298106,0.3,0.48,0.3715061717134993,0.34,0.46,0.24564390726097107,0.3,0.48,0.3715061717134993,0.3,0.46,0.3314312660338292,0.3,0.46,0.3314312660338292,0.28,0.46,0.37551309336216443,0.3,0.46,0.3314312660338292,0.32,0.46,0.28818231340298106,0.3,0.46,0.3314312660338292,0.32,0.46,0.28818231340298106,0.32,0.48,0.32825721908265115,0.3,0.46,0.3314312660338292,0.3,0.44,0.29122696367270007,0.32,0.42,0.20757724048472914,0.32,0.46,0.28818231340298106,0.3,0.46,0.3314312660338292,0.3,0.46,0.3314312660338292
Camilleri_4,0.26,0.32,0.132386818967948,0.46,0.5,0.08008558003365907,0.44,0.52,0.1603005567487772,0.48,0.48,0.0,0.42,0.5,0.16069065295191098,0.4,0.5,0.20135792079033088,0.44,0.5,0.12028988239478822,0.44,0.5,0.12028988239478822,0.46,0.5,0.08008558003365907,0.46,0.5,0.08008558003365907,0.42,0.5,0.16069065295191098,0.46,0.54,0.1601711600673179,0.48,0.5,0.04001067435398897,0.46,0.56,0.20037546242844706,0.46,0.5,0.08008558003365907,0.46,0.48,0.04007490567967009,0.48,0.52,0.08002134870797795,0.46,0.5,0.08008558003365907,0.46,0.52,0.12009625438764804,0.48,0.52,0.08002134870797795,0.5,0.52,0.04001067435398897,0.46,0.5,0.08008558003365907,0.48,0.5,0.04001067435398897,0.48,0.52,0.08002134870797795,0.48,0.54,0.12009625438764782,0.48,0.52,0.08002134870797795,0.46,0.54,0.1601711600673179,0.48,0.5,0.04001067435398897,0.46,0.52,0.12009625438764804,0.48,0.52,0.08002134870797795
