study_id,cycle,d_round_1,d_round_2,d_round_3,d_round_4,d_round_5,d_round_6,d_round_7,d_round_8,d_round_9,d_round_10,d_round_11,d_round_12,d_round_13,d_round_14,d_round_15,d_round_16,d_round_17,d_round_18,d_round_19,d_round_20,d_round_21,d_round_22,d_round_23,d_round_24,d_round_25,d_round_26,d_round_27,d_round_28,d_round_29,d_round_30,control_round_1,intervention_round_1,control_round_2,intervention_round_2,control_round_3,intervention_round_3,control_round_4,intervention_round_4,control_round_5,intervention_round_5,control_round_6,intervention_round_6,control_round_7,intervention_round_7,control_round_8,intervention_round_8,control_round_9,intervention_round_9,control_round_10,intervention_round_10,control_round_11,intervention_round_11,control_round_12,intervention_round_12,control_round_13,intervention_round_13,control_round_14,intervention_round_14,control_round_15,intervention_round_15,control_round_16,intervention_round_16,control_round_17,intervention_round_17,control_round_18,intervention_round_18,control_round_19,intervention_round_19,control_round_20,intervention_round_20,control_round_21,intervention_round_21,control_round_22,intervention_round_22,control_round_23,intervention_round_23,control_round_24,intervention_round_24,control_round_25,intervention_round_25,control_round_26,intervention_round_26,control_round_27,intervention_round_27,control_round_28,intervention_round_28,control_round_29,intervention_round_29,control_round_30,intervention_round_30
Arana_1,single nudge,0.331431266033829,0.120289882394788,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.0800213487079779,0.54,0.7,0.5,0.56,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52,0.48,0.52
Bamberg_1,single nudge,0.0461962382913556,0.2211214634013136,0.0891378663371,0.0440818273283352,0.0873307799591831,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0440818273283352,0.0873307799591831,0.0873307799591831,0.0873307799591831,0.0873307799591831,0.0440818273283352,0.74,0.76,0.66,0.76,0.7,0.74,0.7,0.72,0.68,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.7,0.72,0.68,0.72,0.68,0.72,0.68,0.72,0.68,0.72,0.7,0.72
Bamberg_2,single nudge,0.0816751980870529,0.0,0.0,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,0.0,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,0.0,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,-0.0425384061420099,0.58,0.62,0.66,0.66,0.64,0.64,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.66,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.66,0.66,0.68,0.66,0.68,0.66,0.68,0.66,0.68,0.66
Bamberg_3,single nudge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bohm_1,single nudge,0.2353141108902874,0.2257245222198085,0.2002249755371656,0.1385560211819006,0.0730218745840731,0.0251653271912472,0.0034913613294908,-0.0365572449575352,-0.0168068247644459,-0.048744584076077,-0.0459062552701081,-0.057579547303704,-0.0422125642104439,-0.0332769187573232,-0.0101734971195478,-0.0078399643648658,0.0068532322244393,0.0281614074892721,0.0356360650946514,0.0235258338271427,0.041120327908042,0.0254355462037024,0.0367412462927049,0.0486722575382152,0.0477834724807014,0.0568878956809578,0.048956928244458,0.0655877011955491,0.0521278025688488,0.058864795912668,27.3,30.5,29.89,33.18,30.9,33.98,32.76,35.1,34.04,35.36,34.84,35.32,35.62,35.69,36.32,35.57,36.42,36.07,37.06,36.03,36.94,35.98,37.48,36.26,37.54,36.64,37.66,36.94,37.38,37.16,37.53,37.36,37.64,37.79,37.5,38.12,37.58,38.37,38.04,38.56,37.86,38.78,38.39,38.96,38.72,39.56,38.59,39.7,38.59,39.67,38.71,40.01,38.93,40.05,38.85,40.35,39.31,40.52,39.41,40.77
Bruns_1,single nudge,0.7225728144152442,0.2667843223823699,0.0470040875548592,-0.1086489536865631,-0.208300033778564,-0.3103751008273869,-0.292920363626448,-0.2937445063921552,-0.2958356875340064,-0.3062177088425417,-0.2942007604895348,-0.2952456592202638,-0.2949938684054594,-0.2583950812573993,-0.2815686397246762,-0.2949938684054595,-0.2434078432623497,-0.265355577184566,-0.2939516312990028,-0.2952456592202638,-0.2960472708020309,-0.2908899768912619,-0.3265532997825771,-0.3131246929816207,-0.3251349154791305,-0.3257630227041215,-0.3232062353424544,-0.3117585415107083,-0.2958860695309271,-0.296868494936538,3.08,4.54,3.06,3.54,3.1,3.18,3.2,3.02,3.16,2.8,3.22,2.7,3.14,2.64,3.16,2.66,3.16,2.66,3.18,2.66,3.12,2.62,3.12,2.62,3.14,2.64,3.12,2.68,3.12,2.64,3.14,2.64,3.12,2.7,3.12,2.66,3.14,2.64,3.12,2.62,3.14,2.64,3.14,2.64,3.14,2.58,3.12,2.58,3.16,2.6,3.12,2.56,3.14,2.58,3.14,2.6,3.1,2.58,3.1,2.58
Camilleri_1,single nudge,-0.0833636362556666,0.3216478031851189,0.04007490567967,0.1601711600673179,0.0800855800336588,0.1635042268135398,0.0800855800336588,0.200375462428447,0.0800855800336588,0.0,0.0400106743539889,0.0400749056796698,0.1606906529519103,0.120289882394788,0.0,-0.0400106743539889,-0.0404007705571223,0.0400106743539889,0.0,0.120289882394788,0.0,0.0,-0.1212723407566718,-0.0400106743539889,0.0,-0.080279208040799,0.0,-0.0800213487079779,0.120289882394788,-0.0400106743539889,0.38,0.34,0.44,0.6,0.46,0.48,0.46,0.54,0.5,0.54,0.56,0.64,0.5,0.54,0.46,0.56,0.5,0.54,0.54,0.54,0.5,0.52,0.52,0.54,0.5,0.58,0.5,0.56,0.54,0.54,0.5,0.48,0.58,0.56,0.5,0.52,0.5,0.5,0.5,0.56,0.54,0.54,0.54,0.54,0.6,0.54,0.52,0.5,0.52,0.52,0.56,0.52,0.56,0.56,0.52,0.48,0.5,0.56,0.52,0.5
Camilleri_2,single nudge,-0.2630568414876162,-0.200375462428447,0.0,0.0,0.0400749056796698,-0.0400749056796698,0.0400106743539889,0.0400106743539889,0.0800213487079779,-0.080085580033659,0.0,0.1603005567487769,0.1603005567487772,0.1613472464363419,0.080085580033659,0.1603005567487772,0.1601711600673179,0.1200962543876478,0.1603005567487772,-0.04007490567967,0.2405797647895762,0.280980535346699,0.2407762329855693,0.200375462428447,0.1200962543876478,0.2007013273058993,0.200375462428447,0.4444847621602388,0.2809805353466985,0.2023551766849742,0.36,0.24,0.54,0.44,0.5,0.5,0.48,0.48,0.52,0.54,0.54,0.52,0.5,0.52,0.5,0.52,0.48,0.52,0.5,0.46,0.52,0.52,0.48,0.56,0.44,0.52,0.4,0.48,0.46,0.5,0.44,0.52,0.46,0.54,0.48,0.54,0.44,0.52,0.48,0.46,0.44,0.56,0.42,0.56,0.46,0.58,0.46,0.56,0.48,0.54,0.48,0.58,0.46,0.56,0.42,0.64,0.44,0.58,0.52,0.62
Camilleri_3,single nudge,0.0509971568332715,0.2479780110418519,0.2101589252771574,0.3682678934366401,0.3755130933621644,0.4082785677906291,0.3282572190826511,0.288182313402981,0.4115168460674883,0.3314312660338292,0.288182313402981,0.3314312660338292,0.288182313402981,0.3715061717134993,0.245643907260971,0.3715061717134993,0.3314312660338292,0.3314312660338292,0.3755130933621644,0.3314312660338292,0.288182313402981,0.3314312660338292,0.288182313402981,0.3282572190826511,0.3314312660338292,0.2912269636727,0.2075772404847291,0.288182313402981,0.3314312660338292,0.3314312660338292,0.18,0.2,0.32,0.44,0.3,0.4,0.32,0.5,0.28,0.46,0.32,0.52,0.32,0.48,0.32,0.46,0.3,0.5,0.3,0.46,0.32,0.46,0.3,0.46,0.32,0.46,0.3,0.48,0.34,0.46,0.3,0.48,0.3,0.46,0.3,0.46,0.28,0.46,0.3,0.46,0.32,0.46,0.3,0.46,0.32,0.46,0.32,0.48,0.3,0.46,0.3,0.44,0.32,0.42,0.32,0.46,0.3,0.46,0.3,0.46
Camilleri_4,single nudge,0.132386818967948,0.080085580033659,0.1603005567487772,0.0,0.1606906529519109,0.2013579207903308,0.1202898823947882,0.1202898823947882,0.080085580033659,0.080085580033659,0.1606906529519109,0.1601711600673179,0.0400106743539889,0.200375462428447,0.080085580033659,0.04007490567967,0.0800213487079779,0.080085580033659,0.120096254387648,0.0800213487079779,0.0400106743539889,0.080085580033659,0.0400106743539889,0.0800213487079779,0.1200962543876478,0.0800213487079779,0.1601711600673179,0.0400106743539889,0.120096254387648,0.0800213487079779,0.26,0.32,0.46,0.5,0.44,0.52,0.48,0.48,0.42,0.5,0.4,0.5,0.44,0.5,0.44,0.5,0.46,0.5,0.46,0.5,0.42,0.5,0.46,0.54,0.48,0.5,0.46,0.56,0.46,0.5,0.46,0.48,0.48,0.52,0.46,0.5,0.46,0.52,0.48,0.52,0.5,0.52,0.46,0.5,0.48,0.5,0.48,0.52,0.48,0.54,0.48,0.52,0.46,0.54,0.48,0.5,0.46,0.52,0.48,0.52
Catlin_1,single nudge,-0.2783323678627976,-0.666930537444395,-0.6748973854119301,-0.7963380224021355,-0.7921137652157366,-0.7842305665795287,-0.8024999870720015,-0.8102021043390957,-0.8052107976302515,-0.7946799632855416,-0.8010410594603984,-0.7978425419512746,-0.7936274506920626,-0.8019913484201526,-0.799671005272178,-0.7993110536433574,-0.7924346539386664,-0.796128828427366,-0.7961892018768647,-0.7905228094460646,-0.7962227107272177,-0.8082069488683352,-0.8084037040732072,-0.8041549391122783,-0.8019846385221778,-0.8006467525510479,-0.8001602117037279,-0.8021318092235385,-0.8010152860244218,-0.8018290972804545,22.08,26.84,19.3,30.08,18.536,29.92,17.368,30.24,17.18,29.9,17.094,29.74,17.13,30.1,17.006,30.08,17.096,30.11,17.166,30.06,17.046,30.02,17.182,30.1,17.194000000000003,30.124,17.094000000000005,30.074,17.116000000000003,30.062,17.110000000000003,29.934,17.188000000000002,30.072,17.200000000000003,30.172,17.156000000000002,30.09,17.227999999999998,30.084,17.144,30.104,17.078000000000003,30.106000000000005,17.088,30.116000000000003,17.13,30.126000000000005,17.168000000000003,30.122000000000003,17.164,30.126000000000005,17.148000000000003,30.178,17.150000000000002,30.124,17.168000000000003,30.108,17.174,30.152
Demarque_1,single nudge,0.9053911265638842,0.360306022418433,0.2015290742466017,0.140351317992784,0.2041573683014329,0.2317931624863828,0.2097379911643475,0.2097379911643475,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2503155208403583,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2070029043978607,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2317931624863828,0.2536891975532735,2.04,2.9,1.94,2.24,1.92,2.1,1.94,2.06,1.9,2.08,1.88,2.08,1.9,2.08,1.9,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.86,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.06,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.88,2.08,1.86,2.08
Demarque_2,single nudge,0.2161836134510591,0.2667675048879552,0.3313358122253496,0.3355386160783211,0.391640235668428,0.3573154072447098,0.3743971480251868,0.3573154072447098,0.3791174194916257,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3959797974644664,0.3959797974644664,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,0.3743971480251868,2.16,2.34,1.7,1.94,1.64,1.94,1.64,1.94,1.58,1.92,1.62,1.94,1.6,1.94,1.62,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.58,1.94,1.58,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94,1.6,1.94
Demarque_3,single nudge,0.3521807064562172,0.1133018392853073,0.0692255447007808,0.0457360064269361,0.0224035848603894,0.0228042066006252,0.0461190513973407,0.0449165750400662,0.0,0.0228042066006252,0.0449165750400662,0.0228042066006252,0.0449165750400662,0.0228042066006252,0.0449165750400662,0.0449165750400662,0.0221221216131989,0.043803503749967,0.0449165750400662,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0449165750400662,0.0215896218517221,0.0222222222222222,0.043803503749967,0.0215896218517221,0.0215896218517221,0.0,1.88,2.24,1.74,1.84,1.7,1.76,1.68,1.72,1.66,1.68,1.68,1.7,1.66,1.7,1.66,1.7,1.68,1.68,1.68,1.7,1.66,1.7,1.68,1.7,1.66,1.7,1.68,1.7,1.66,1.7,1.66,1.7,1.66,1.68,1.66,1.7,1.66,1.7,1.68,1.7,1.68,1.7,1.68,1.7,1.68,1.7,1.66,1.7,1.66,1.68,1.68,1.7,1.66,1.7,1.66,1.68,1.66,1.68,1.66,1.66
Demarque_4,single nudge,-2.119215120574768,-0.8620416322105053,-0.8336416788725616,-0.8266921969185297,-0.7214429634274645,-0.7762032803490451,-0.8494690329782538,-0.8419505748606249,-0.8067008170638439,-0.7978389106956457,-0.7903720813524793,-0.8298485697093467,-0.7972716738552222,-0.8298485697093467,-0.8298485697093467,-0.8409039363569141,-0.8409039363569141,-0.8298485697093467,-0.8016525682293417,-0.8102047428062487,-0.8110673335797287,-0.8102047428062487,-0.8036601708140424,-0.8061936408385382,-0.8154632585382723,-0.8102047428062487,-0.8016525682293416,-0.8069125522577266,-0.8102047428062487,-0.8102047428062487,3.48,0.64,3.4,2.04,3.24,1.96,3.36,2.06,3.28,2.12,3.24,2.02,3.32,1.98,3.32,2.0,3.3,2.0,3.3,2.04,3.28,2.02,3.3,2.0,3.26,1.98,3.3,2.0,3.3,2.0,3.3,1.98,3.3,1.98,3.3,2.0,3.24,1.98,3.26,1.98,3.28,2.0,3.26,1.98,3.26,1.98,3.24,1.96,3.28,1.98,3.26,1.98,3.24,1.98,3.26,1.98,3.26,1.98,3.26,1.98
Demarque_5,single nudge,0.6987888647993921,-0.0954514640391479,-0.167551970062227,-0.1425162475966006,-0.1365898801023619,-0.1369160869941499,-0.1231105262366923,-0.1194706257233112,-0.0687417043189269,-0.1161355928009221,-0.0935414346693486,-0.1161355928009221,-0.0935414346693486,-0.0935414346693486,-0.0935414346693486,-0.0935414346693486,-0.0935414346693486,-0.0935414346693486,-0.0687417043189269,-0.0935414346693486,-0.0935414346693486,-0.0696813556805533,-0.0935414346693486,-0.0935414346693486,-0.0935414346693486,-0.1161355928009221,-0.0935414346693486,-0.0935414346693486,-0.1161355928009221,-0.0935414346693486,1.94,2.64,2.14,2.06,2.1,1.96,2.02,1.9,2.06,1.94,2.0,1.88,2.02,1.92,2.02,1.92,1.98,1.92,2.02,1.92,2.0,1.92,2.02,1.92,2.0,1.92,2.0,1.92,2.0,1.92,2.0,1.92,2.0,1.92,2.0,1.92,1.98,1.92,2.0,1.92,2.0,1.92,1.98,1.92,2.0,1.92,2.0,1.92,2.0,1.92,2.02,1.92,2.0,1.92,2.0,1.92,2.02,1.92,2.0,1.92
Demarque_6,single nudge,0.3219451403205664,0.0425710903622143,0.0980869435650756,0.1233162460980878,0.1233162460980878,0.1178316490619612,0.0808964795319783,0.0808964795319783,0.1451095647867135,0.1233162460980878,0.1451095647867135,0.1233162460980878,0.1233162460980878,0.1233162460980878,0.1233162460980878,0.1233162460980878,0.1008578525191817,0.1233162460980878,0.1233162460980878,0.1420289855072465,0.1603275336078832,0.1233162460980878,0.1233162460980878,0.1420289855072465,0.1200735369285646,0.1420289855072465,0.1233162460980878,0.1233162460980878,0.1420289855072465,0.1233162460980878,1.92,2.26,1.86,1.9,1.78,1.88,1.72,1.84,1.72,1.84,1.74,1.86,1.76,1.84,1.76,1.84,1.7,1.84,1.72,1.84,1.7,1.84,1.72,1.84,1.72,1.84,1.72,1.84,1.72,1.84,1.72,1.84,1.74,1.84,1.72,1.84,1.72,1.84,1.7,1.84,1.68,1.84,1.72,1.84,1.72,1.84,1.7,1.84,1.7,1.82,1.7,1.84,1.72,1.84,1.72,1.84,1.7,1.84,1.72,1.84
Demarque_7,single nudge,-2.227090250978953,-1.2312674451497274,-1.0597457682140508,-1.0265980892875337,-1.05457996337421,-0.993777318406142,-1.0230602943769245,-1.0108258547337303,-1.0473739771743498,-1.0325206959112556,-1.0325206959112556,-1.0387675419604374,-1.0010416258106074,-1.0387675419604374,-1.051030427590099,-1.0445276711897498,-1.0387675419604374,-1.0387675419604374,-1.0325206959112556,-1.0387675419604374,-1.0325206959112556,-1.0325206959112556,-1.0387675419604374,-1.0325206959112556,-1.0325206959112556,-1.0325206959112556,-1.0139532239247466,-1.0355465495798577,-1.0016145649982544,-1.0355465495798577,4.5,0.52,4.34,2.06,4.16,2.18,4.02,2.16,4.06,2.14,4.04,2.18,3.98,2.14,4.0,2.16,4.0,2.1,4.0,2.14,4.0,2.14,4.02,2.14,3.96,2.14,4.02,2.14,4.02,2.12,4.02,2.12,4.02,2.14,4.02,2.14,4.0,2.14,4.02,2.14,4.0,2.14,4.0,2.14,4.02,2.14,4.0,2.14,4.0,2.14,4.0,2.14,4.0,2.16,4.02,2.14,4.0,2.16,4.02,2.14
