study_id,control_round_1,intervention_round_1,d_round_1,control_round_2,intervention_round_2,d_round_2,control_round_3,intervention_round_3,d_round_3,control_round_4,intervention_round_4,d_round_4,control_round_5,intervention_round_5,d_round_5,control_round_6,intervention_round_6,d_round_6,control_round_7,intervention_round_7,d_round_7,control_round_8,intervention_round_8,d_round_8,control_round_9,intervention_round_9,d_round_9,control_round_10,intervention_round_10,d_round_10,control_round_11,intervention_round_11,d_round_11,control_round_12,intervention_round_12,d_round_12,control_round_13,intervention_round_13,d_round_13,control_round_14,intervention_round_14,d_round_14,control_round_15,intervention_round_15,d_round_15,control_round_16,intervention_round_16,d_round_16,control_round_17,intervention_round_17,d_round_17,control_round_18,intervention_round_18,d_round_18,control_round_19,intervention_round_19,d_round_19,control_round_20,intervention_round_20,d_round_20,control_round_21,intervention_round_21,d_round_21,control_round_22,intervention_round_22,d_round_22,control_round_23,intervention_round_23,d_round_23,control_round_24,intervention_round_24,d_round_24,control_round_25,intervention_round_25,d_round_25,control_round_26,intervention_round_26,d_round_26,control_round_27,intervention_round_27,d_round_27,control_round_28,intervention_round_28,d_round_28,control_round_29,intervention_round_29,d_round_29,control_round_30,intervention_round_30,d_round_30
Arana_1,0.54,0.7,0.331431266033829,0.5,0.56,0.120289882394788,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779,0.48,0.52,0.0800213487079779
Bamberg_2,0.58,0.62,0.0816751980870529,0.66,0.66,0.0,0.64,0.64,0.0,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.66,0.66,0.0,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.66,0.66,0.0,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099,0.68,0.66,-0.0425384061420099
Dickerson_2,268.7,275.7,-0.2276105006568856,275.84,270.8,0.221920327507133,272.82,272.0,0.0351897731845149,273.7,272.16,0.0629295447381112,271.62,272.46,-0.0316352686967907,271.02,274.2,-0.1148162867197726,271.34,273.56,-0.076149238783574,270.3,273.96,-0.1258953466808434,270.12,274.32,-0.1427166305379825,268.46,274.38,-0.1954345228226046,268.98,273.64,-0.1502057986019303,268.58,273.46,-0.1515168028085604,267.64,274.2,-0.2119603259348025,267.7,274.54,-0.2220848498915554,267.52,273.86,-0.1997594903018364,266.78,274.38,-0.240156284809051,267.1,274.24,-0.2232567209896001,266.28,274.3,-0.2497522476892768,266.62,274.0,-0.226891474465214,266.24,274.2,-0.2443940513373866,267.68,275.22,-0.2500951944070887,266.34,275.02,-0.2720779153821122,266.34,275.12,-0.2735089819217078,265.94,274.8,-0.2758040892813873,265.98,274.82,-0.2775887814085581,265.76,274.74,-0.2781296949568251,265.48,275.14,-0.2963502910553161,265.54,274.76,-0.280680944479324,265.4,274.46,-0.2758141944362116,265.48,274.82,-0.2837599577272256
Everett_1,0.4,0.6,0.4027158415806615,0.52,0.46,-0.120096254387648,0.52,0.46,-0.120096254387648,0.54,0.44,-0.200375462428447,0.54,0.46,-0.1601711600673179,0.54,0.42,-0.2407762329855698,0.54,0.46,-0.1601711600673179,0.54,0.44,-0.200375462428447,0.54,0.46,-0.1601711600673179,0.54,0.42,-0.2407762329855698,0.54,0.46,-0.1601711600673179,0.54,0.46,-0.1601711600673179,0.54,0.46,-0.1601711600673179,0.54,0.46,-0.1601711600673179,0.54,0.44,-0.200375462428447,0.54,0.44,-0.200375462428447,0.54,0.42,-0.2407762329855698,0.54,0.44,-0.200375462428447,0.54,0.44,-0.200375462428447,0.54,0.44,-0.200375462428447,0.54,0.44,-0.200375462428447,0.54,0.44,-0.200375462428447,0.54,0.4,-0.2814435008239897,0.54,0.4,-0.2814435008239897,0.54,0.42,-0.2407762329855698,0.54,0.42,-0.2407762329855698,0.52,0.42,-0.2007013273058999,0.54,0.42,-0.2407762329855698,0.54,0.42,-0.2407762329855698,0.54,0.42,-0.2407762329855698
Handgraaf_1,15.76,15.92,0.0157552821360271,13.4,14.66,0.1513149441975116,12.52,13.22,0.0884279195718652,11.68,12.12,0.0549905317822181,11.32,11.12,-0.0248888200606423,11.1,10.42,-0.0825074396733225,11.1,9.78,-0.1567556897449645,11.04,9.3,-0.2041886041875978,10.96,9.0,-0.2301106674602011,10.9,8.66,-0.2629503368336515,10.72,8.38,-0.2801768933288666,10.62,7.96,-0.3205180111744218,10.56,7.86,-0.3254188377066767,10.6,7.72,-0.347377677658283,10.56,7.54,-0.3665936987395635,10.54,7.42,-0.3809192882387866,10.5,7.66,-0.3499663743663426,10.54,7.42,-0.3881294560109775,10.8,7.34,-0.4310857577221686,10.44,7.26,-0.3919178083500123,10.52,7.16,-0.4174387982149601,10.38,7.18,-0.4043044673351461,10.46,7.2,-0.4109071228700827,10.42,7.08,-0.4257296308312808,10.62,7.1,-0.4426802882070267,10.56,7.48,-0.3810472100971988,10.56,7.2,-0.4257294259729207,10.86,7.9,-0.3673008396339425,10.6,7.3,-0.4191521609579546,10.56,7.24,-0.4227047848893187
Kesternich_1,0.2,0.28,0.1879024353974611,0.22,0.18,-0.1001124656254938,0.22,0.2,-0.0491153087922222,0.22,0.2,-0.0491153087922222,0.22,0.18,-0.1001124656254938,0.22,0.2,-0.0491153087922222,0.22,0.2,-0.0491153087922222,0.22,0.18,-0.1001124656254938,0.22,0.18,-0.1001124656254938,0.2,0.2,0.0,0.22,0.2,-0.0491153087922222,0.22,0.2,-0.0491153087922222,0.22,0.2,-0.0491153087922222,0.22,0.2,-0.0491153087922222,0.26,0.18,-0.193843553221968,0.24,0.18,-0.1476473149306119,0.22,0.2,-0.0491153087922222,0.2,0.18,-0.0509971568332715,0.22,0.18,-0.1001124656254938,0.2,0.18,-0.0509971568332715,0.2,0.18,-0.0509971568332715,0.2,0.18,-0.0509971568332715,0.2,0.18,-0.0509971568332715,0.2,0.18,-0.0509971568332715,0.2,0.18,-0.0509971568332715,0.22,0.18,-0.1001124656254938,0.2,0.18,-0.0509971568332715,0.2,0.18,-0.0509971568332715,0.2,0.18,-0.0509971568332715,0.2,0.18,-0.0509971568332715
Klotz_1,25.4,44.3,1.8859150673747969,24.5,35.78,1.2931167473762528,24.48,33.5,0.9987693635479468,24.08,31.52,0.8131467164631082,23.92,30.3,0.7187266627637853,24.02,30.18,0.6753860331943004,24.0,30.14,0.6817920507766745,24.2,30.36,0.6943324217557331,24.26,30.38,0.6959003361723519,24.16,30.14,0.6645809244330358,24.04,30.02,0.6676100190374886,24.06,30.1,0.6732637719661245,24.14,30.08,0.6569573010405554,24.04,29.8,0.6362471268918647,23.88,30.02,0.6670078419631777,24.04,29.69,0.6198874912198946,24.16,29.65,0.6184788352642941,23.96,29.62,0.6168190155770058,24.14,29.46,0.5874065472899543,24.17,29.47,0.5842697189231313,24.1,29.39,0.5795444606100878,23.95,29.456,0.5996560627032159,24.088,29.384,0.5762388040036945,24.17,29.37,0.5681535161156338,24.31,29.15,0.5327817906818486,24.17,29.3,0.5623546609382215,24.15,29.33,0.5712563654931672,24.24,29.35,0.5625839600447508,24.36,29.45,0.5534635832869695,24.592,29.41,0.5274363294573695
Lofgren_1,0.16,0.24,0.2009116839639764,0.28,0.2,-0.1879024353974611,0.28,0.22,-0.1387871266052388,0.3,0.22,-0.182868953933574,0.28,0.22,-0.1387871266052388,0.32,0.22,-0.2261179065644222,0.3,0.22,-0.182868953933574,0.28,0.22,-0.1387871266052388,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.28,0.22,-0.1387871266052388,0.26,0.22,-0.0937310875964742,0.3,0.18,-0.2829814195590678,0.3,0.2,-0.2319842627257963,0.3,0.22,-0.182868953933574,0.28,0.22,-0.1387871266052388,0.28,0.22,-0.1387871266052388,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.3,0.2,-0.2319842627257963,0.28,0.22,-0.1387871266052388,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574,0.3,0.22,-0.182868953933574
Lofgren_2,0.24,0.34,0.2211214634013141,0.3,0.22,-0.182868953933574,0.36,0.22,-0.3105916907927343,0.36,0.16,-0.4639685254515926,0.36,0.18,-0.4107041564182281,0.34,0.14,-0.4780728316384,0.36,0.16,-0.4639685254515926,0.36,0.16,-0.4639685254515926,0.34,0.18,-0.368768778331926,0.36,0.16,-0.4639685254515926,0.36,0.18,-0.4107041564182281,0.38,0.18,-0.4521324145875927,0.36,0.18,-0.4107041564182281,0.36,0.18,-0.4107041564182281,0.36,0.18,-0.4107041564182281,0.36,0.18,-0.4107041564182281,0.34,0.18,-0.368768778331926,0.36,0.18,-0.4107041564182281,0.36,0.18,-0.4107041564182281,0.36,0.18,-0.4107041564182281,0.38,0.18,-0.4521324145875927,0.38,0.18,-0.4521324145875927,0.36,0.18,-0.4107041564182281,0.38,0.18,-0.4521324145875927,0.36,0.18,-0.4107041564182281,0.34,0.18,-0.368768778331926,0.36,0.18,-0.4107041564182281,0.36,0.18,-0.4107041564182281,0.36,0.18,-0.4107041564182281,0.36,0.18,-0.4107041564182281
Marek_1,22.68,26.44,0.587271811704311,21.76,19.24,-0.3869575010718206,20.38,15.38,-0.8622206714516344,20.38,13.06,-1.2113441327497492,20.58,11.18,-1.544592427714011,20.04,9.54,-1.695074457480802,20.0,8.72,-1.8978137460013051,20.04,8.14,-2.0347538607129567,20.14,7.64,-2.2007652016546158,20.12,7.52,-2.1982234303880084,20.06,7.12,-2.3217628433934663,20.06,6.8,-2.386749245586303,20.4,6.52,-2.5118105239483994,20.48,6.22,-2.553174992881327,20.32,6.24,-2.5680254380308214,20.44,6.86,-2.3163535448400867,20.6,6.08,-2.5332222813975767,20.78,6.28,-2.610013529492954,20.44,5.92,-2.6719626977023694,20.9,5.98,-2.753440550769056,20.64,6.36,-2.355085635256996,20.82,5.9,-2.7570839631021333,20.8,5.94,-2.69712764796766,20.64,5.9,-2.70311334924166,20.62,6.12,-2.426639961911736,20.8,5.78,-2.73734333856128,20.64,5.78,-2.7056541773824354,21.28,5.8,-2.8156949524306447,20.86,5.66,-2.8219535806791707,21.78,5.78,-3.2445645595240444
