ID,group,Age,Sex,ethnicity,occupation,income,education,envAttitude_pre,envSelfEfficacy_pre,envMotivation_pre,envAttitude_post,envSelfEfficacy_post,envMotivation_post,nudge_acceptance_post,nudge_reactance_post,nudge_fatigue_post,eco_choices_day1,eco_choices_day2,eco_choices_day3,eco_choices_day4,eco_choices_day5,eco_choices_day6,eco_choices_day7,eco_choices_day8,eco_choices_day9,eco_choices_day10,eco_choices_day11,eco_choices_day12,eco_choices_day13,eco_choices_day14,daily_donation_cents_day1,daily_donation_cents_day2,daily_donation_cents_day3,daily_donation_cents_day4,daily_donation_cents_day5,daily_donation_cents_day6,daily_donation_cents_day7,daily_donation_cents_day8,daily_donation_cents_day9,daily_donation_cents_day10,daily_donation_cents_day11,daily_donation_cents_day12,daily_donation_cents_day13,daily_donation_cents_day14,n_trials_day1,n_trials_day2,n_trials_day3,n_trials_day4,n_trials_day5,n_trials_day6,n_trials_day7,n_trials_day8,n_trials_day9,n_trials_day10,n_trials_day11,n_trials_day12,n_trials_day13,n_trials_day14,eco_share_day1,eco_share_day2,eco_share_day3,eco_share_day4,eco_share_day5,eco_share_day6,eco_share_day7,eco_share_day8,eco_share_day9,eco_share_day10,eco_share_day11,eco_share_day12,eco_share_day13,eco_share_day14,information_nudge_rt_ms_day1,information_nudge_rt_ms_day2,information_nudge_rt_ms_day3,information_nudge_rt_ms_day4,information_nudge_rt_ms_day5,information_nudge_rt_ms_day6,information_nudge_rt_ms_day7,information_nudge_rt_ms_day8,information_nudge_rt_ms_day9,information_nudge_rt_ms_day10,information_nudge_rt_ms_day11,information_nudge_rt_ms_day12,information_nudge_rt_ms_day13,information_nudge_rt_ms_day14,assistant_commitment_rt_ms_day1,assistant_commitment_rt_ms_day2,assistant_commitment_rt_ms_day3,assistant_commitment_rt_ms_day4,assistant_commitment_rt_ms_day5,assistant_commitment_rt_ms_day6,assistant_commitment_rt_ms_day7,assistant_commitment_rt_ms_day8,assistant_commitment_rt_ms_day9,assistant_commitment_rt_ms_day10,assistant_commitment_rt_ms_day11,assistant_commitment_rt_ms_day12,assistant_commitment_rt_ms_day13,assistant_commitment_rt_ms_day14
KXHpsZEe,information_medium,31,Female,Asian,Government/Public sector,"20,001-30,000",Bachelor,4,4,4,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,2,2,3,2,3,2,NA,2,3,3,3,1,5,NA,4,4,9,5,14,4,NA,3,8,3,3,3,3,NA,3,3,3,3,3,3,NA,3,3,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,NA,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.666666666666667,NA,0.666666666666667,1,45665,NA,NA,20188,NA,NA,2300,NA,NA,2862,NA,NA,5106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
XIcebWOg,information_low,51,Male,Other,Private sector,"30,001-40,000",Bachelor,3.933,3,-2,3.73333333333333,4,-0.5,4,2,1,3,2,3,3,3,3,3,3,3,3,3,2,2,2,9,3,10,7,7,7,10,6,11,8,11,9,11,8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0.666666666666667,1,1,1,1,1,1,1,1,1,0.666666666666667,0.666666666666667,0.666666666666667,10193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nanNBAxO,information_high,37,Female,Mixed,Private sector,"40,001-60,000",Bachelor,4,4,12.5,NA,NA,NA,NA,NA,NA,3,2,2,NA,2,2,2,2,2,2,2,2,2,2,2,2,4,NA,8,4,5,5,5,5,5,4,6,5,3,3,3,NA,3,3,3,3,3,3,3,3,3,3,1,0.666666666666667,0.666666666666667,NA,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,16762,17671,16286,NA,12561,44039,54355,2445,10205,2070,2556,25045,10721,14562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGrfBMtb,assistant_medium,37,Male,Asian,Private sector,">60,000",Bachelor,3.4,4,2,4,4,3,3,3,3,1,3,1,0,0,0,0,0,0,0,0,1,0,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.333333333333333,1,0.333333333333333,0,0,0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6027,NA,NA,9929,NA,NA,6839,NA,NA,7785,NA,NA,5711,NA
UkUBPBnt,information_high,31,Male,White,Private sector,"10,001-20,000",Bachelor,3.2,4,-3,3.4,4,-2,5,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,49441,6989,3553,13204,3241,2689,2277,2363,2608,2913,2346,2428,2535,2584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IpRZrKzd,assistant_high,39,Male,White,Other,"<10,000",Senior high,3.733,5,10.5,4.33333333333333,5,14,4,3,3,0,2,0,2,0,1,0,3,0,2,0,2,0,2,0,6,0,8,0,4,0,9,0,9,0,9,0,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0.666666666666667,0,0.666666666666667,0,0.333333333333333,0,1,0,0.666666666666667,0,0.666666666666667,0,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15702,5336,3688,4172,3372,2967,3867,3308,2292,3433,3644,4696,4091,2896
bHxSWFgN,control,42,Female,White,Private sector,"10,001-20,000",Senior high,4.6,5,7.5,NA,NA,NA,NA,NA,NA,3,3,3,2,3,2,2,3,2,2,2,2,NA,2,7,5,9,6,11,7,10,7,10,6,10,7,NA,8,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,1,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lksRktNC,structure_medium,56,Male,White,Private sector,"40,001-60,000",College diploma,4.6,4,8,NA,NA,NA,NA,NA,NA,1,1,1,3,1,NA,3,1,0,3,0,0,3,3,2,2,1,6,2,NA,13,3,0,9,0,0,8,8,3,3,3,3,3,NA,3,3,3,3,3,3,3,3,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,NA,1,0.333333333333333,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rnPfrsQI,assistant_medium,65,Female,White,Private sector,"20,001-30,000",Senior high,3.667,4,5.5,NA,NA,NA,NA,NA,NA,1,0,0,NA,3,NA,1,2,NA,2,0,NA,NA,NA,1,0,0,NA,3,NA,0,6,NA,6,0,NA,NA,NA,3,3,3,NA,3,NA,3,3,NA,3,3,NA,NA,NA,0.333333333333333,0,0,NA,1,NA,0.333333333333333,0.666666666666667,NA,0.666666666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14464,NA,NA,NA,NA,NA,2862,NA,NA,2783,NA,NA,NA,NA
FkSYVCSa,assistant_low,57,Female,White,Government/Public sector,"10,001-20,000",College diploma,3.933,4,3,4,4,2.5,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
